,agent,step,test_id,avg_reward,std_reward
0,,120,-1,-2119.516666666667,509.52224327195853
1,,240,-1,-2273.883333333333,539.5692446037137
2,,360,-1,-2239.133333333333,537.3249006782478
3,,480,-1,-2309.775,515.0423196608864
4,,600,-1,-2471.025,577.0329491242246
5,,720,-1,-2249.4583333333335,459.00023412908575
6,,840,-1,-2154.633333333333,532.3170097685108
7,,960,-1,-2625.2083333333335,711.8006614194892
8,,1080,-1,-2296.4333333333334,600.7253079033342
9,,1200,-1,-2216.5416666666665,439.04240296037716
10,,1320,-1,-2362.825,634.1080173821597
11,,1440,-1,-2362.141666666667,558.8594381391641
12,,1560,-1,-2205.9,478.4937199169912
13,,1680,-1,-2113.1,510.034694898298
14,,1800,-1,-2272.5583333333334,610.6563790413467
15,,1920,-1,-2197.1,561.6557130484831
16,,2040,-1,-2317.9333333333334,618.549900079928
17,,2160,-1,-2338.616666666667,566.6847916218994
18,,2280,-1,-2150.4583333333335,523.6873096265451
19,,2400,-1,-2098.1583333333333,461.0649447354341
20,,2520,-1,-2498.383333333333,604.8506728018816
21,,2640,-1,-2301.9416666666666,600.4476981918482
22,,2760,-1,-2500.766666666667,636.1805133415795
23,,2880,-1,-2303.2,566.1875072211797
24,,3000,-1,-2463.1,626.0590281009186
25,,3120,-1,-2361.9666666666667,571.3460704531205
26,,3240,-1,-2321.8333333333335,581.909132845403
27,,3360,-1,-2171.891666666667,432.9808463014142
28,,3480,-1,-2252.641666666667,559.6216995410581
29,,3600,-1,-2336.4416666666666,514.7229642541273
30,,3720,-1,-2340.2,618.8093082687105
31,,3840,-1,-2497.4666666666667,609.2510967482035
32,,3960,-1,-2206.133333333333,475.190171288179
33,,4080,-1,-2278.6833333333334,625.6080373435822
34,,4200,-1,-2181.2083333333335,538.6572951304217
35,,4320,-1,-2304.7083333333335,580.7272365438778
36,,4440,-1,-2015.125,411.9910104702933
37,,4560,-1,-2260.55,512.1910426458732
38,,4680,-1,-2462.9083333333333,672.1606578270969
39,,4800,-1,-2257.5666666666666,493.4013534188527
40,,4920,-1,-2241.225,531.8281906546512
41,,5040,-1,-2178.008333333333,493.71154695552974
42,,5160,-1,-2209.5833333333335,492.05596875649104
43,,5280,-1,-2262.05,564.2946164608225
44,,5400,-1,-2268.2083333333335,586.0879896374112
45,,5520,-1,-2264.116666666667,601.9494605492686
46,,5640,-1,-2351.983333333333,600.0554416514824
47,,5760,-1,-2062.4583333333335,536.3438557466864
48,,5880,-1,-2242.1583333333333,567.1688019721779
49,,6000,-1,-2225.7083333333335,539.8129675457562
50,,6120,-1,-2345.5333333333333,499.3597723307537
51,,6240,-1,-1976.4666666666667,441.68795420397066
52,,6360,-1,-2029.1583333333333,444.3866371347015
53,,6480,-1,-2307.35,668.723468632588
54,,6600,-1,-2192.1833333333334,484.75124176105925
55,,6720,-1,-2235.641666666667,443.8479618787146
56,,6840,-1,-2378.325,616.4878771787271
57,,6960,-1,-2203.5666666666666,557.3590215371855
58,,7080,-1,-2288.766666666667,598.517846201951
59,,7200,-1,-2347.508333333333,615.6433626139045
60,,7320,-1,-2298.1,735.7809275411624
61,,7440,-1,-2365.116666666667,643.4990440725007
62,,7560,-1,-2119.116666666667,405.6643970766421
63,,7680,-1,-2176.9083333333333,454.6535676723787
64,,7800,-1,-2176.4583333333335,503.31378376769646
65,,7920,-1,-2119.7916666666665,480.4654496047441
66,,8040,-1,-2174.983333333333,521.2649515574802
67,,8160,-1,-2222.983333333333,516.9341186800843
68,,8280,-1,-2234.4333333333334,495.9392055036137
69,,8400,-1,-2419.925,539.6967074586121
70,,8520,-1,-2153.4333333333334,478.60331057033954
71,,8640,-1,-2319.758333333333,541.0119683801418
72,,8760,-1,-2351.483333333333,757.0388803680356
73,,8880,-1,-2253.5,516.2724409973221
74,,9000,-1,-2227.358333333333,452.803080743225
75,,9120,-1,-2262.45,529.5800199214468
76,,9240,-1,-2174.5916666666667,439.1312730045032
77,,9360,-1,-2171.15,404.42153441675185
78,,9480,-1,-2253.4666666666667,517.8922818072842
79,,9600,-1,-2186.383333333333,505.7003589632457
80,,9720,-1,-2334.233333333333,543.7340761397575
81,,9840,-1,-2460.0416666666665,552.4190196435029
82,,9960,-1,-2080.1833333333334,526.7075087011978
83,,10080,-1,-2411.575,589.3132113245609
84,,10200,-1,-2171.891666666667,544.2572277246812
85,,10320,-1,-2280.4333333333334,527.2646668314584
86,,10440,-1,-2193.2083333333335,453.07922220867977
87,,10560,-1,-2406.2916666666665,634.5422155096451
88,,10680,-1,-2283.0416666666665,521.8740971382742
89,,10800,-1,-2303.575,519.1434558080583
90,,10920,-1,-2142.2833333333333,510.63694185682346
91,,11040,-1,-2114.0333333333333,571.711989457007
92,,11160,-1,-2237.608333333333,526.5825243307601
93,,11280,-1,-2444.3333333333335,610.750267203289
94,,11400,-1,-2228.45,558.3290375456633
95,,11520,-1,-2175.8166666666666,444.34170378462363
96,,11640,-1,-2316.05,549.378752926127
97,,11760,-1,-2380.4583333333335,568.2045537749198
98,,11880,-1,-2190.016666666667,568.4601420113424
99,,12000,-1,-2217.233333333333,540.7589686932822
100,,12120,-1,-2269.1666666666665,533.5694633524507
